Statistic Label,Year,Commodity Group,Countries and Territories,UNIT,VALUE,Commodity Name,Code,Category,Country Code
Value of Imports,2015,Dairy products and birds eggs (02),Lithuania,Euro Thousand,1225.0,Dairy products and birds eggs,2.0,Food & Beverages,LTU
Value of Imports,2015,Dairy products and birds eggs (02),Luxembourg,Euro Thousand,-1.0,Dairy products and birds eggs,2.0,Food & Beverages,LUX
Value of Imports,2015,Dairy products and birds eggs (02),Latvia,Euro Thousand,711.0,Dairy products and birds eggs,2.0,Food & Beverages,LVA
Value of Imports,2015,Dairy products and birds eggs (02),Malta,Euro Thousand,-1.0,Dairy products and birds eggs,2.0,Food & Beverages,MLT
Value of Imports,2015,Dairy products and birds eggs (02),Mexico,Euro Thousand,-1.0,Dairy products and birds eggs,2.0,Food & Beverages,MEX
Value of Imports,2015,Dairy products and birds eggs (02),Malaysia,Euro Thousand,-1.0,Dairy products and birds eggs,2.0,Food & Beverages,MYS
Value of Imports,2015,Dairy products and birds eggs (02),Netherlands,Euro Thousand,44185.0,Dairy products and birds eggs,2.0,Food & Beverages,NLD
Value of Imports,2015,Dairy products and birds eggs (02),Norway,Euro Thousand,6.0,Dairy products and birds eggs,2.0,Food & Beverages,NOR
Value of Imports,2015,Dairy products and birds eggs (02),Poland,Euro Thousand,7634.0,Dairy products and birds eggs,2.0,Food & Beverages,POL
Value of Imports,2015,Dairy products and birds eggs (02),Portugal,Euro Thousand,48.0,Dairy products and birds eggs,2.0,Food & Beverages,PRT
Value of Imports,2015,Dairy products and birds eggs (02),Romania,Euro Thousand,19.0,Dairy products and birds eggs,2.0,Food & Beverages,ROU
Value of Imports,2015,Dairy products and birds eggs (02),Russia,Euro Thousand,-1.0,Dairy products and birds eggs,2.0,Food & Beverages,RUS
Value of Imports,2015,Dairy products and birds eggs (02),Saudi Arabia,Euro Thousand,0.0,Dairy products and birds eggs,2.0,Food & Beverages,SAU
Value of Imports,2015,Dairy products and birds eggs (02),Sweden,Euro Thousand,28.0,Dairy products and birds eggs,2.0,Food & Beverages,SWE
